sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
Batch_1_UMGC_257	Batch_1_UMGC_257	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_UMGC_257_R1_001.fastq.gz	Batch_1_UMGC_257_R2_001.fastq.gz				
Batch_1_UMGC_304	Batch_1_UMGC_304	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_UMGC_304_R1_001.fastq.gz	Batch_1_UMGC_304_R2_001.fastq.gz				
Batch_1_UMGC_306	Batch_1_UMGC_306	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_UMGC_306_R1_001.fastq.gz	Batch_1_UMGC_306_R2_001.fastq.gz				
Batch_1_UMGC_H2O	Batch_1_UMGC_H2O	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_UMGC_H2O_R1_001.fastq.gz	Batch_1_UMGC_H2O_R2_001.fastq.gz				
Batch_1_USDA1_S215	Batch_1_USDA1_S215	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA1_S215_R1_001.fastq.gz	Batch_1_USDA1_S215_R2_001.fastq.gz				
Batch_1_USDA10_S14	Batch_1_USDA10_S14	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA10_S14_R1_001.fastq.gz	Batch_1_USDA10_S14_R2_001.fastq.gz				
Batch_1_USDA100_S262	Batch_1_USDA100_S262	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA100_S262_R1_001.fastq.gz	Batch_1_USDA100_S262_R2_001.fastq.gz				
Batch_1_USDA101_S38	Batch_1_USDA101_S38	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA101_S38_R1_001.fastq.gz	Batch_1_USDA101_S38_R2_001.fastq.gz				
Batch_1_USDA102_S41	Batch_1_USDA102_S41	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA102_S41_R1_001.fastq.gz	Batch_1_USDA102_S41_R2_001.fastq.gz				
Batch_1_USDA103_S199	Batch_1_USDA103_S199	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA103_S199_R1_001.fastq.gz	Batch_1_USDA103_S199_R2_001.fastq.gz				
Batch_1_USDA104_S109	Batch_1_USDA104_S109	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA104_S109_R1_001.fastq.gz	Batch_1_USDA104_S109_R2_001.fastq.gz				
Batch_1_USDA105_S29	Batch_1_USDA105_S29	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA105_S29_R1_001.fastq.gz	Batch_1_USDA105_S29_R2_001.fastq.gz				
Batch_1_USDA106_S154	Batch_1_USDA106_S154	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA106_S154_R1_001.fastq.gz	Batch_1_USDA106_S154_R2_001.fastq.gz				
Batch_1_USDA107_S282	Batch_1_USDA107_S282	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA107_S282_R1_001.fastq.gz	Batch_1_USDA107_S282_R2_001.fastq.gz				
Batch_1_USDA108_S40	Batch_1_USDA108_S40	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA108_S40_R1_001.fastq.gz	Batch_1_USDA108_S40_R2_001.fastq.gz				
Batch_1_USDA109_S234	Batch_1_USDA109_S234	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA109_S234_R1_001.fastq.gz	Batch_1_USDA109_S234_R2_001.fastq.gz				
Batch_1_USDA11_S184	Batch_1_USDA11_S184	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA11_S184_R1_001.fastq.gz	Batch_1_USDA11_S184_R2_001.fastq.gz				
Batch_1_USDA111_S134	Batch_1_USDA111_S134	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA111_S134_R1_001.fastq.gz	Batch_1_USDA111_S134_R2_001.fastq.gz				
Batch_1_USDA112_S196	Batch_1_USDA112_S196	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA112_S196_R1_001.fastq.gz	Batch_1_USDA112_S196_R2_001.fastq.gz				
Batch_1_USDA113_S164	Batch_1_USDA113_S164	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA113_S164_R1_001.fastq.gz	Batch_1_USDA113_S164_R2_001.fastq.gz				
Batch_1_USDA114_S191	Batch_1_USDA114_S191	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA114_S191_R1_001.fastq.gz	Batch_1_USDA114_S191_R2_001.fastq.gz				
Batch_1_USDA115_S281	Batch_1_USDA115_S281	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA115_S281_R1_001.fastq.gz	Batch_1_USDA115_S281_R2_001.fastq.gz				
Batch_1_USDA116_S103	Batch_1_USDA116_S103	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA116_S103_R1_001.fastq.gz	Batch_1_USDA116_S103_R2_001.fastq.gz				
Batch_1_USDA118_S56	Batch_1_USDA118_S56	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA118_S56_R1_001.fastq.gz	Batch_1_USDA118_S56_R2_001.fastq.gz				
Batch_1_USDA119_S35	Batch_1_USDA119_S35	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA119_S35_R1_001.fastq.gz	Batch_1_USDA119_S35_R2_001.fastq.gz				
Batch_1_USDA121_S156	Batch_1_USDA121_S156	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA121_S156_R1_001.fastq.gz	Batch_1_USDA121_S156_R2_001.fastq.gz				
Batch_1_USDA122_S15	Batch_1_USDA122_S15	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA122_S15_R1_001.fastq.gz	Batch_1_USDA122_S15_R2_001.fastq.gz				
Batch_1_USDA123_S143	Batch_1_USDA123_S143	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA123_S143_R1_001.fastq.gz	Batch_1_USDA123_S143_R2_001.fastq.gz				
Batch_1_USDA124_S148	Batch_1_USDA124_S148	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA124_S148_R1_001.fastq.gz	Batch_1_USDA124_S148_R2_001.fastq.gz				
Batch_1_USDA125_S23	Batch_1_USDA125_S23	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA125_S23_R1_001.fastq.gz	Batch_1_USDA125_S23_R2_001.fastq.gz				
Batch_1_USDA126_S42	Batch_1_USDA126_S42	Amplicon sequencing of bovine teat apex microbiome	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"DNA was extracted from each sample using the PowerSoil Pro Kit (Qiagen, Hilden, Germany).  The extraction of DNA was automated on the QiaCube Connect instrument (Qiagen, Hilden, Germany).  The V4 region of the 16S rRNA gene was amplified using the Meta_V4_515F and Meta_V4_806R primer pair.  Amplified libraries were then sequenced on an Illumina MiSeq instrument (Illumina Inc., San Diego, CA) using the v3 chemistry (2x300 base pairs)."	fastq	Batch_1_USDA126_S42_R1_001.fastq.gz	Batch_1_USDA126_S42_R2_001.fastq.gz				
